_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
25,A1093601,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-18,MED SEV,STRAY,FIELD,,2025-07-18,EUTH,,MED SEV,BRADBURY DR/TUSTIN DR,SAN JOSE,2025-07-18
26,A1099323,,CAT,TORBI-DIL,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-25,MED SEV,STRAY,OTC,,2025-07-25,EUTH,,MED SEV,BLOSSOM AVE/CANTON DR,SAN JOSE,2025-07-25
27,A1122177,LUCKY,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2018-09-01,6 YEARS,2025-07-02,DEAD,DISPO REQ,FIELD,,2025-07-03,DISPOSAL,,DEAD,KELLY PARK,SAN JOSE,2025-07-10
28,A1137506,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-03,DEAD,DISPO REQ,OTC,,2025-07-03,DISPOSAL,,DEAD,TUERS RD/UMBARGER RD,SAN JOSE,2025-07-03
29,A1148820,DUC,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2013-09-12,12 YEARS,2025-07-24,HEALTHY,CONFISCATE,HOSPITAL,,2025-07-26,RTO,,HEALTHY,,SAN JOSE,2025-07-26
30,A1154250,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2018-07-23,7 YEARS,2025-07-23,MED SEV,STRAY,OTC,,2025-07-24,EUTH,,MED SEV,S CAPITOL AVE X FLORENCE AVE,SAN JOSE,2025-07-24
31,A1166381,CHIQUITO,DOG,TAN,WHITE,CHIHUAHUA SH,NEUTERED,2016-03-03,9 YEARS,2025-07-20,MED R,STRAY,OTC,,2025-07-21,RTO,,,22ND ST/WILLIAM ST,SAN JOSE,2025-07-21
32,A1173824,MAX,DOG,WHITE,GRAY,SHIH TZU,NEUTERED,2019-06-04,6 YEARS,2025-07-01,MED R,OWNER SUR,FIELD,,2025-07-07,RESCUE,,MED R,,MILPITAS,2025-08-13
33,A1195558,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,2014-07-16,11 YEARS,2025-07-16,MED SEV,STRAY,OTC,,2025-07-16,EUTH,,MED SEV,CATHAY DR/NEWTON AVE,SAN JOSE,2025-07-16
34,A1210019,MEEP,DOG,WHITE,,MALTESE,MALE,2020-06-23,5 YEARS,2025-07-26,MED R,STRAY,OTC,,2025-07-27,RTO,,MED R,TULLY RD/10TH ST,SAN JOSE,2025-07-27
35,A1221020,PUDDY CAT,DOG,TAN,WHITE,PIT BULL,SPAYED,2023-07-09,2 YEARS,2025-07-07,BEH R,STRAY,FIELD,,2025-07-10,RTO,,BEH R,OAKLAND X 880,SAN JOSE,2025-07-10
36,A1228996,SLATER,DOG,BRINDLE-BN,,CAIRN TERRIER,MALE,2018-05-09,7 YEARS,2025-07-28,DEAD,DISPO REQ,FIELD,,2025-07-28,DISPOSAL,,DEAD,,SAN JOSE,2025-07-28
37,A1229532,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2021-07-10,4 YEARS,2025-07-02,DEAD,DISPO REQ,FIELD,,2025-07-02,DISPOSAL,,DEAD,UMBARGER RD X PACER LN,SAN JOSE,2025-07-02
38,A1230247,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-28,MED R,STRAY,OTC,,2025-07-31,RTF,,MED R,MCDONALD AVE/MCKEE RD,SAN JOSE,2025-07-31
39,A1231005,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-16,MED R,STRAY,OTC,,2025-07-20,RTF,,MED R,DELBERT WAY/PEDRO ST,SAN JOSE,2025-07-25
40,A1231643,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-13,DEAD,DISPO REQ,OTC,,2025-07-13,DISPOSAL,,DEAD,COLT WAY/RUTHER PLACE WAY,SAN JOSE,2025-07-13
41,A1233204,DAKOTA,DOG,BRINDLE-BN,WHITE,PIT BULL,SPAYED,2019-10-27,5 YEARS,2025-07-22,HEALTHY,OWNER SUR,OTC,,2025-07-29,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-29
42,A1237751,CHIQUILIN,DOG,WHITE,,SHIH TZU,MALE,2018-11-09,6 YEARS,2025-07-22,MED R,STRAY,OTC,,2025-07-22,RTO,,MED R,MORENO X LANCELOT,SAN JOSE,2025-07-22
43,A1245046,,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-17,MED SEV,STRAY,OTC,,2025-07-18,EUTH,,MED SEV,BARNARD X STONE AVE,SAN JOSE,2025-07-18
44,A1245224,LUNA,DOG,BROWN,WHITE,GERM SHEPHERD,FEMALE,2020-08-03,5 YEARS,2025-07-26,MED R,STRAY,OTC,,2025-07-30,RTO,,MED R,BROADWAY AVE/BROADWAY CT,SAN JOSE,2025-07-30
45,A1257623,NINA,DOG,BROWN,WHITE,PIT BULL,SPAYED,2019-11-06,5 YEARS,2025-07-15,HEALTHY,CONFISCATE,POLICE,,2025-08-08,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-08
46,A1270753,NOELLE,DOG,BRINDLE-BN,,PIT BULL,FEMALE,2021-08-25,4 YEARS,2025-07-28,HEALTHY,CONFISCATE,ASO,,2025-07-29,RTO,,HEALTHY,,SAN JOSE,2025-07-29
47,A1289843,LOLA,DOG,TAN,,AM PIT BULL TER,SPAYED,2022-07-21,3 YEARS,2025-07-20,HEALTHY,STRAY,FIELD,,2025-07-21,RTO,,HEALTHY,VIA DEL ORO/SAN IGNACIO AVE,SAN JOSE,2025-07-21
48,A1289843,LOLA,DOG,TAN,,AM PIT BULL TER,SPAYED,2022-07-21,3 YEARS,2025-07-21,HEALTHY,SPAY,,,2025-07-21,SPAY,,HEALTHY,,SAN JOSE,2025-07-21
49,A1294513,JOE,DOG,BLACK,TAN,CHIHUAHUA SH,NEUTERED,,NO AGE,2025-07-11,MED M,STRAY,FIELD,,2025-07-11,RTO,,MED M,E CALAVERAS X CARNEGIE,MILPITAS,2025-07-11
50,A1300616,MAX,DOG,CREAM,,CHIHUAHUA SH,NEUTERED,2022-05-19,3 YEARS,2025-07-16,MED R,CONFISCATE,OWNER DIED,,2025-08-04,TRANSFER,,MED R,,,2025-08-04
51,A1313591,PAIN,DOG,RED,WHITE,SIBERIAN HUSKY,NEUTERED,2019-03-11,6 YEARS,2025-07-06,HEALTHY,STRAY,OTC,,2025-07-07,RTO,,HEALTHY,TUERS RD X E CAPITOL EXPY,SAN JOSE,2025-07-07
52,A1314686,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2020-09-06,5 YEARS,2025-07-23,MED R,STRAY,FIELD,,2025-08-05,RTF,,FERAL,MENKER X SAN CARLOS,SAN JOSE,2025-08-06
53,A1315297,TRAP 2,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-15,MED EMERG,STRAY,OTC,,2025-07-15,DIED,,MED EMERG,N HWY 87 AND 280 INTERCHANGE,SAN JOSE,2025-07-17
54,A1318179,TIFFANY,CAT,TABBY-BRN,,DOMESTIC MH,SPAYED,2023-09-10,2 YEARS,2025-07-24,FERAL,S/N CLINIC,,,2025-07-24,RTO,,HEALTHY,,SAN JOSE,2025-07-24
55,A1328559,HARRY,CAT,BLACK,WHITE,DOMESTIC MH,NEUTERED,2021-02-10,4 YEARS,2025-07-29,MED R,STRAY,MEDVET,,2025-08-01,ADOPTION,,HEALTHY,WOZ WAY,SAN JOSE,2025-08-01
56,A1330278,KILO,DOG,BLACK,WHITE,SIBERIAN HUSKY,MALE,2021-12-18,3 YEARS,2025-07-01,HEALTHY,STRAY,OTC,,2025-07-06,RTO,,HEALTHY,MONTEREY RD X TULLY RD,SAN JOSE,2025-07-06
57,A1337843,CANELA,DOG,BROWN,WHITE,LABRADOR RETR,SPAYED,2024-02-23,1 YEAR 7 MONTHS,2025-07-17,MED EMERG,STRAY,MEDVET,IP ADOPT,2025-07-30,ADOPTION,,HEALTHY,HWY NB 101 / HWY 880,SAN JOSE,2025-07-30
58,A1342306,RANGO,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2019-09-29,6 YEARS,2025-07-28,HEALTHY,STRAY,OTC,,2025-07-28,RTF,,,MONTEREY/UMBARGER,SAN JOSE,2025-07-28
59,A1346423,SNOW,DOG,WHITE,,CHIHUAHUA SH,FEMALE,2023-07-20,2 YEARS,2025-07-20,HEALTHY,OWNER SUR,OTC,,2025-07-31,TRANSFER,,HEALTHY,,SAN JOSE,2025-07-31
60,A1346921,PEONI,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-05-18,1 YEAR 4 MONTHS,2025-07-18,HEALTHY,STRAY,OTC,,2025-08-01,ADOPTION,,HEALTHY,DON MARCO CT/DON JUAN CIR,SAN JOSE,2025-08-01
61,A1347445,CHAVELA,DOG,BROWN,WHITE,CHIHUAHUA SH,SPAYED,2017-07-05,8 YEARS,2025-07-19,HEALTHY,STRAY,FOUND,,2025-08-22,FOUND ANIM,,HEALTHY,AUZERAIS AVE/MERIDIAN AVE,SAN JOSE,2025-08-22
62,A1347445,CHAVELA,DOG,BROWN,WHITE,CHIHUAHUA SH,SPAYED,2017-07-05,8 YEARS,2025-07-06,HEALTHY,STRAY,FOUND,,2025-07-19,FOUND ANIM,,HEALTHY,SAN CARLOS X MERIDIAN,SAN JOSE,2025-07-19
63,A1348304,NOODLES,DOG,WHITE,,BICHON FRISE,NEUTERED,2020-07-30,5 YEARS,2025-07-24,MED R,STRAY,OTC,,2025-08-07,ADOPTION,,MED R,ASHLAND DR X ROSSWELL DR,MILPITAS,2025-08-07
64,A1352300,MERLIN,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-07-18,1 YEAR,2025-07-11,DEAD,DISPO REQ,OTC,,2025-07-11,DISPOSAL,,DEAD,ALMADEN RD/ALMADEN EXPY,SAN JOSE,2025-07-11
65,A1354144,DEXTER,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2021-07-22,4 YEARS,2025-07-21,MED R,STRAY,OTC,,2025-07-27,ADOPTION,,MED R,RUMSEY CT/FONTANELLE DR,SAN JOSE,2025-07-27
66,A1357262,LUCKY,CAT,BLACK,,DOMESTIC SH,SPAYED,2024-06-27,1 YEAR 3 MONTHS,2025-07-09,HEALTHY,OWNER SUR,OTC,MOVE,2025-07-19,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-19
67,A1358008,GRACE,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-08-11,1 YEAR 1 MONTH,2025-07-29,HEALTHY,CONFISCATE,POLICE,,2025-07-30,RTO,,HEALTHY,,SAN JOSE,2025-07-30
68,A1358033,JACK,DOG,TAN,BLACK,GERM SHEPHERD,NEUTERED,2023-05-06,2 YEARS,2025-07-05,HEALTHY,STRAY,MEDVET,,2025-07-14,ADOPTION,,HEALTHY,SENTER RD  X NEEDLES RD,SAN JOSE,2025-07-15
69,A1359489,TRAP 2,CAT,WHITE,TABBY-BRN,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-22,DEAD,DISPO REQ,OTC,,2025-07-22,DISPOSAL,,DEAD,CHERRY X GLEN EYRIE,SAN JOSE,2025-07-22
70,A1360659,APOLLO,DOG,BLACK,WHITE,PIT BULL,NEUTERED,2020-04-01,5 YEARS,2025-07-10,HEALTHY,CONFISCATE,ASO,,2025-08-11,RTO,,HEALTHY,,MILPITAS,2025-08-11
71,A1360659,APOLLO,DOG,BLACK,WHITE,PIT BULL,NEUTERED,2020-04-01,5 YEARS,2025-07-08,BEH M,STRAY,FIELD,,2025-07-09,RTO,,,HILLVIEW X 680,MILPITAS,2025-07-09
72,A1362919,COLE,DOG,BLACK,WHITE,GREAT DANE,MALE,,NO AGE,2025-07-23,MED R,STRAY,OTC,,2025-07-23,RTO,,MED R,E CAPITOL EXPY / TULLY RD,SAN JOSE,2025-07-24
73,A1368769,ARNOLD,DOG,BRINDLE-BN,,PIT BULL,NEUTERED,2021-01-07,4 YEARS,2025-07-26,HEALTHY,RETURN,OTC,ALLERGIC,,,,,,SAN JOSE,2025-09-13
74,A1370089,AQUA,DOG,BROWN,,GERM SHEPHERD,SPAYED,2024-07-19,1 YEAR 2 MONTHS,2025-07-17,HEALTHY,STRAY,OTC,,2025-08-04,ADOPTION,,HEALTHY,LEWIS RD/MONTEREY RD,SAN JOSE,2025-08-04
75,A1370846,FLOWER,DOG,BLACK,WHITE,CHIHUAHUA SH,SPAYED,2020-09-16,5 YEARS,2025-07-24,MED SEV,STRAY,FIELD,,2025-07-28,RTO,,MED SEV,ALMADEN RD/CURTNER AVE,SAN JOSE,2025-07-28
76,A1370969,EVE,CAT,TABBY-GRAY,TAN,DOMESTIC SH,SPAYED,2024-05-30,1 YEAR 4 MONTHS,2025-07-23,MED M,RETURN,OTC,,2025-07-24,RTO,,MED M,,,2025-08-07
77,A1371086,REN,DOG,BLACK,WHITE,TOY FOX TERRIER,NEUTERED,2024-08-31,1 YEAR 1 MONTH,2025-07-10,HEALTHY,STRAY,OTC,,2025-08-04,RESCUE,,HEALTHY,CAPITOL EXPY/SENTER RD,SAN JOSE,2025-08-04
78,A1372150,TRAP 19,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-13,DEAD,DISPO REQ,OTC,,2025-07-13,DISPOSAL,,DEAD,MERIDIAN/280 ON RAMP,SAN JOSE,2025-07-13
79,A1373725,BAYLEE,DOG,BLACK,TAN,MIN PINSCHER,FEMALE,2010-02-13,15 YEARS,2025-07-05,HEALTHY,STRAY,FIELD,,2025-07-06,RTO,,HEALTHY,1100 BLOCK N ABBOTT,MILPITAS,2025-07-06
80,A1373726,TWIX,DOG,RED,BROWN,MIN PINSCHER,MALE,2023-02-13,2 YEARS,2025-07-05,HEALTHY,STRAY,FIELD,,2025-07-06,RTO,,HEALTHY,1100 BLOCK N ABBOTT,MILPITAS,2025-07-06
81,A1374349,DONUT,DOG,WHITE,,POODLE MIN,NEUTERED,2024-02-28,1 YEAR 7 MONTHS,2025-07-09,HEALTHY,CONFISCATE,POLICE,,2025-07-17,RTO,,HEALTHY,,SAN JOSE,2025-07-18
82,A1376533,FELINA,DOG,BROWN,WHITE,PIT BULL,SPAYED,2024-11-02,10 MONTHS,2025-07-14,HEALTHY,STRAY,OTC,,2025-07-18,RTO,,HEALTHY,S 5TH ST/KEYES ST,SAN JOSE,2025-07-24
83,A1376970,MARGOT,OTHER,BLACK,,RABBIT SH,SPAYED,,NO AGE,2025-07-12,HEALTHY,FOSTER,,,2025-07-12,RESCUE,,HEALTHY,,,2025-07-12
84,A1377586,MILLIE,DOG,CREAM,BROWN,BORDER TERRIER,SPAYED,2024-11-26,10 MONTHS,2025-07-10,HEALTHY,STRAY,FIELD,,2025-07-22,ADOPTION,,HEALTHY,1200 BLOCK DEMPSEY,MILPITAS,2025-07-22
85,A1378355,TRAP 1,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-27,DEAD,DISPO REQ,FIELD,,2025-07-27,DISPOSAL,,DEAD,"3000 BLOCK CAPEWOOD LN, SAN JOSE CA 95132",SAN JOSE,2025-07-27
86,A1379511,TRAP 14,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-06,MED M,STRAY,MEDVET,,2025-07-12,RTF,,MED M,BLK 5000 GELIA WAY,SAN JOSE,2025-07-12
87,A1379829,FRANKIE,DOG,CREAM,,SCOT TERRIER,NEUTERED,2013-04-18,12 YEARS,2025-07-24,MED R,CONFISCATE,ASO,,2025-08-26,RESCUE,,MED R,,SAN JOSE,2025-08-26
88,A1380120,OLLIE,DOG,GOLD,,BORDER COLLIE,NEUTERED,2023-07-10,2 YEARS,2025-07-10,HEALTHY,STRAY,OTC,,2025-09-08,ADOPTION,,HEALTHY,MARTEN AVE / CLAYTON RD,SAN JOSE,2025-09-08
89,A1380353,SHIMMER,DOG,BROWN,,PIT BULL,SPAYED,2021-05-08,4 YEARS,2025-07-03,BEH R,STRAY,OTC,,2025-08-02,ADOPTION,,BEH R,CHEYENNE LN,SAN JOSE,2025-08-04
90,A1380622,PHILLIPPA,CAT,BLACK,,DOMESTIC SH,SPAYED,2025-04-25,5 MONTHS,2025-07-07,HEALTHY,RETURN,OTC,,2025-07-12,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-12
91,A1380829,VENADO,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2024-05-03,1 YEAR 4 MONTHS,2025-07-10,HEALTHY,STRAY,OTC,,2025-07-11,RTO,,HEALTHY,WHIRLAWAY X ROEDER,SAN JOSE,2025-07-11
92,A1380909,TOPH,CAT,BLACK,,DOMESTIC SH,SPAYED,2025-03-27,6 MONTHS,2025-07-22,HEALTHY,RETURN,OTC,,2025-07-25,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-25
93,A1382371,MAX,DOG,BROWN,BLACK,BELG MALINOIS,NEUTERED,2024-07-19,1 YEAR 2 MONTHS,2025-07-02,HEALTHY,RETURN,OTC,,2025-07-05,ADOPTION,,HEALTHY,,OUT OF COUNTY,2025-07-05
94,A1382537,BLUE,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-05,HEALTHY,STRAY,OTC,,2025-07-05,ADOPTION,,HEALTHY,HILL TOP VIEW LN/HASSLER PKWY,SAN JOSE,2025-07-05
95,A1382997,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,2025-04-20,5 MONTHS,2025-07-15,HEALTHY,RETURN,OTC,,2025-07-15,RTO,,,,SAN JOSE,2025-07-15
96,A1384951,COOPER,DOG,BROWN,BLACK,BELG MALINOIS,NEUTERED,2024-06-11,1 YEAR 3 MONTHS,2025-07-22,HEALTHY,RETURN,OTC,,,,,,,SAN JOSE,2025-08-10
97,A1385048,TEDDY,DOG,TAN,,FRENCH BULLDOG,NEUTERED,2023-06-11,2 YEARS,2025-07-06,HEALTHY,RETURN,OTC,ALLERGIC,2025-07-06,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-06
98,A1385048,TEDDY,DOG,TAN,,FRENCH BULLDOG,NEUTERED,2023-06-11,2 YEARS,2025-07-09,HEALTHY,RETURN,OTC,,2025-07-11,ADOPTION,,HEALTHY,,COUNTY,2025-07-11
99,A1385907,CHEETO,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2025-05-12,4 MONTHS,2025-07-09,HEALTHY,RETURN,OTC,,2025-07-11,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-11
100,A1386062,MAMA,DOG,WHITE,,GERM SHEPHERD,FEMALE,2024-12-13,9 MONTHS,2025-07-01,HEALTHY,CONFISCATE,ASO,,2025-07-02,RTO,,HEALTHY,,SAN JOSE,2025-07-02
101,A1386268,BOPPERS,DOG,TAN,WHITE,PIT BULL,NEUTERED,2021-06-16,4 YEARS,2025-07-16,HEALTHY,STRAY,OTC,,2025-07-18,RTO,,HEALTHY,SANTA TERESA BLVD/THORNWOOD DR,SAN JOSE,2025-07-18
102,A1386277,LUCKY,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2022-06-22,3 YEARS,2025-07-03,HEALTHY,RETURN,OTC,,2025-07-07,RESCUE,,HEALTHY,,SAN JOSE,2025-08-13
103,A1386287,CALLIE,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,2025-04-20,5 MONTHS,2025-07-06,HEALTHY,RETURN,OTC,,2025-07-09,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-09
104,A1386288,GEORGIE,CAT,ORANGE,,DOMESTIC SH,SPAYED,2025-04-20,5 MONTHS,2025-07-06,HEALTHY,RETURN,OTC,,2025-07-07,ADOPTION,,HEALTHY,,SAN JOSE,2025-07-07
105,A1386304,HUDA,DOG,BROWN,,GERM SHEPHERD,SPAYED,2025-05-17,4 MONTHS,2025-07-18,MED R,RETURN,OTC,,2025-07-22,ADOPTION,,MED R,,SAN JOSE,2025-07-22
106,A1386512,BEANS,DOG,BROWN,,CHIHUAHUA LH,NEUTERED,2022-06-24,3 YEARS,2025-07-25,BEH M,RETURN,OTC,,2025-08-18,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-18
107,A1386577,MADDIE,DOG,BLACK,BROWN,GERM SHEPHERD,SPAYED,2024-11-25,10 MONTHS,2025-07-05,HEALTHY,OWNER SUR,OTC,,2025-07-06,ADOPTION,,HEALTHY,,,2025-07-06
108,A1386654,SOLDIER,DOG,BLACK,BROWN,GERM SHEPHERD,NEUTERED,2025-01-25,8 MONTHS,2025-07-02,HEALTHY,STRAY,OTC,,2025-07-11,ADOPTION,,HEALTHY,100 BLOCK N/129 HIGHWAY EXIT,COUNTY,2025-07-11
109,A1386895,,DOG,WHITE,BLACK,TIBETAN TERR,NEUTERED,,NO AGE,2025-07-22,HEALTHY,STRAY,OTC,,2025-08-14,RESCUE,,HEALTHY,E JULIAN ST/ N 24TH ST,SAN JOSE,2025-08-14
110,A1386947,TRAP 1,CAT,GRAY,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-02,FERAL,S/N CLINIC,,,2025-07-02,RTF,,FERAL,,,2025-07-02
